name,email,alternate_emails,phone,website,email_status,review_status,review_reasons
ID SOFT - Caisse Tactile Tunisie,id2softwaresolutions@gmail.com,,52 316 703,https://idsoft.tn/,REVIEW,REVIEW,email domain differs from website
Telnet,info@groupe-telnet.net,,,http://www.groupe-telnet.com/,REVIEW,REVIEW,email domain differs from website
Fogits - Intégrateur ERP Odoo,info@fogits.com,,58 433 533,http://www.fogits.com/,MATCH,READY,
IT SERVICES,contact@tun-its.com,,74 227 995,https://www.it-services.com.tn/,REVIEW,REVIEW,email domain differs from website
sifo-consulting Software Engineering compagny,,,22 978 631,,,READY,
ASM POS,,,74 415 055,,,READY,
Web Media Tunisie,commercial@webmediatunisie.com,,25 472 525,http://webmedia-tunisie.com/,REVIEW,REVIEW,email domain differs from website
AS AGENCY - Agence Web Tunis,hello@as-agency.com,,26 052 000,https://as-agency.com/,MATCH,READY,
Agence webdesign.,info@webdesign.tn,,71 704 932,https://www.webdesign.tn/,MATCH,READY,
Yoursly,Business@yrsly.com,,26 900 904,http://www.yrsly.com/,MATCH,READY,
Mynds,contact@mynds-team.com,,29 543 202,http://mynds-team.com/,MATCH,READY,
Aftercode,contact@aftercode.tn,,24 201 201,http://www.aftercode.tn/,MATCH,READY,
E-SKILLS - WEB AND MOBILE DEVELOPMENT AGENCY,dhiaguedri@eskills.agency,,52 838 318,https://eskills.agency/,MATCH,READY,
AISYSNEXT,contact@aisysnext.com,,27 797 980,http://aisysnext.com/,MATCH,READY,
DCI Websolutions,contact@dci-websolutions.com,,+1 418-262-5167,https://www.dci-websolutions.com/,MATCH,READY,
Digital rise solutions | SEO | référencement naturel | Agence SEO Tunisie | سيو,amira@digital-rise-solutions.com,amira@digitalrisesolutions.com,22 105 514,https://digital-rise-solutions.com/,MATCH,REVIEW,multiple email domains
Silkdev - Global Website Design Company,contact@silkdev.com.tn,,92 018 279,https://silkdev.com.tn/,MATCH,READY,
DEVEOO : Agence web Tunisie,,,29 801 298,https://www.deveoo.com/,,READY,
Ikigai Agence de communication Tunisie,contact@ikigai.tn,,90 601 300,https://ikigai.tn/,MATCH,READY,
Zahou Tech,contact@zahou-tech.com,,99 655 495,https://zahou-tech.com/,MATCH,READY,
TANIT WEB,Contact@tanitweb.com,,71 900 906,https://www.tanitweb.com/,MATCH,READY,
"Media Web Services : Agence Web Tunisie - Agence Web Kairouan, Site Web, Application Mobile, Shooting et Vidéo - MWS Services",contact@mws-services.com,,22 225 951,http://mws-services.com/,MATCH,READY,
Agence Web THE ROAD,contact@theroad.tn,,94 337 199,https://www.theroad.tn/,MATCH,READY,
Devmix,,,31 402 372,https://devmix.tn/,,READY,
iBrand Tunisia,contact@ibrandtunisia.tn,,51 656 969,http://www.ibrandtunisia.tn/,MATCH,READY,
Kaoun,contact@flouci.com,,31 334 400,https://www.kaoun.com/,REVIEW,REVIEW,email domain differs from website
Winit Tunisia - Erp - Sap Partner,AbdelkrimBenFarhat@winit.com.tn,,22 595 515,https://www.winit.com.tn/,MATCH,READY,
eDonec,,,25 652 424,,,READY,
Devlopy,Contact@devlopy.tn,,93 013 083,https://devlopy.tn/,MATCH,READY,
EcoVadis Tunisia,,,,http://www.ecovadis.com/,,READY,
IT-Labs Tunisia,,,+33 1 83 62 33 09,,,READY,
TIMSOFT Group,contact@timsoft-group.com,,70 860 870,https://timsoft-group.com/,MATCH,READY,
Faveod Tunisia,jobs@faveod.com,,,http://www.faveod.com/,MATCH,READY,
INSTEAD,,,71 442 097,http://insteadsoftware.com/,,READY,
Accelya Group,,,71 287 161,http://www.accelya.com/,,READY,
Numeryx Tunisie,contact@numeryx.fr,,71 130 131,https://www.numeryx.fr/,MATCH,READY,
ZUM-IT,contact@zum-it.com,,71 602 410,https://www.zum-it.com/,MATCH,READY,
Marquardt Tunisia,,,31 333 100,,,READY,
Get'IT,,,71 862 899,,,READY,
Gola Services,contact@gola.tn,,71 709 333,https://select.gola.tn/,MATCH,READY,
SpaceNet Ariana,contact@spacenet.tn,,70 223 305,https://spacenet.tn/,MATCH,READY,
Avantages Soft,contact@avantages-soft.com.tn,,74 402 909,http://www.avantages-soft.com.tn/,MATCH,READY,
EXADEV,,,70 032 532,https://www.exadev.tn/,,READY,
WEBI,webitunisie@gmail.com,,27 707 777,https://www.webi.tn/,REVIEW,REVIEW,email domain differs from website
AS Référencement,contact@as-referencement.com,,25 693 159,https://www.as-referencement.com/,MATCH,READY,
ADACTIM,contact@adactim.com,,31 340 000,http://www.adactim.com/,MATCH,READY,
